word,meaning
"reduce prices","להוריד מחירים"
reduced,"מצומצם; כחוש"
reducibility,"פריקות"
redundancy,"יתירות; שפע, עודף; מילוליות-יתר; כפל לשון"
reduplicatively,"תוך הכפלה"
"reed pen","קולמוס (קנה כתיבה, עט)"
reef,"שונית; שרטון; קצה המפרש"
reentrance,"כניסה מחודשת"
reexperience,"לחוות מחדש"
reexpression,"הבעה מחודשת"
referee,"שופט, בורר"
reference,"להוסיף מראי מקום (בספר וכו')"
"reference books","ספרי עיון, ספרי יעץ"
"reference point","נקודת התייחסות; נקודת מוצא, נקודת ציון"
"reflected binary code","קוד גרי"
reflecting,"שמשתקף, שמחזיר, שגורם השתקפות, שגורם החזרה; שמשתמש בהשתקפות"
reflex,"לכופף"
reformist,"רפורמי (משתייך לתנועה הרפורמית)"
"refractive index","מקדם שבירה"
refresh,"לרענן, להתרענן; לאכול"
refueling,"תדלוק"
"refuse an offer","לדחות הצעה"
"refuse heaps","ערימות אשפה, מצבורי פסולת"
regardless,"בלי להתחשב ב-"
regardlessness,"אי-תשומת לב"
"register office","(בריטי) משרד רישום, מקום בו מתנהלים נישואים אזרחיים"
registerer,"רשם"
regular,"חיל סדיר; לקוח קבוע"
"regular force","צבא סדיר, כוח סדיר"
"regular salary","משכורת קבועה (משכורת בשיעור אחיד שאינו משתנה; שכר ממקור הכנסה קבוע)"
regularise,"להסדיר, לארגן, להכניס סדר; לעשות לסדיר; להטיל כללים (גם regularize)"
rehabilitate,"לשקם; לטהר שם"
"rehabilitation process","תהליך שיקום, תהליך שיקומי"
rehearser,"מתאמן"
reimpose,"לאכוף מחדש, להטיל מחדש"
reinstatement,"החזרה; קימום"
reintroduction,"הנהגה מחדש, החזרה"
"reinvestment rate","שיעור השקעה מחדש (שיעור הריבית עבור השקעת כספים שהשתחררו מהשקעה קודמת)"
rejuvenate,"להשיב נעורים; להפוך שוב לצעיר; להפוך חברה או ארגון ליותר יעילים או פרודוקטיביים על ידי יישום שיטות ומושגים חדשים; להחזיר ולשקם משהו למצבו המקורי; להחיות מחדש, להשיב לתחייה, לחדש, להתחדש"
"relative cell reference","הפניה יחסית, גישה לתא בגיליון אלקטרוני ע&quot;פ מיקומו היחסי אל התא הנוכחי"
relegate,"להעביר, למסור; להוריד"
"reliable evidence","ראיה אמינה (ראיה מהימנה, ראיה שניתן לסמוך על נכונותה)"
"reliance interest","אינטרס ההסתמכות (התבססות על מצב משפטי מסוים)"
"relief agency","לשכת הסעד (משרד המטפל בבעיות סעד)"
"relief from fine","שחרור מקנס"
"relinquish a position","לנטוש עמדה"
remarkable,"מצוין; לא-רגיל"
"remember me","אל תשכח אותי, זכור אותי במחשבותיך"
reminting,"חידוש; המצאה מחדש, ליצור מחדש; המסת מטבעות ישנות וייצירת מטבעות חדשות"
"remit anger","לשכך כעס"
remnant,"שריד, שארית"
remonstrative,"מוחה; מתלונן"
"remote town","עיירה נידחת (עיירה השוכנת בסמוך לגבול, פרובינציה)"
removable,"שניתן להזיזו"
renascense,"התחדשות, תחייה"
renderable,"שניתן למוסרו"
renege,"להפר הבטחה, לא לקיים התחייבות; לזרוק קלף מסדרה אחרת (במשחק קלפים)"
renormalization,"חזרה לשגרה, חזרה למצב הנורמלי"
rental,"הכנסה מדמי-שכירות; השכרה"
renting,"שכירה; השכרה"
repast,"ארוחה, סעודה"
"repent sins","לחזור בתשובה"
replan,"לתכנן מחדש"
repleader,"זכות טענה מחודשת (במשפטים)"
replenish,"לחדש את המלאי"
repletion,"גודש, שפע"
replier,"עונה, משיב"
"repondez s`il vous plait","(מצרפתית) תשובתך בבקשה!, בקשה לתשובה על מכתב או הזמנה המופיעה בסופם, RSVP"
repopulation,"אכלוס מחדש"
reporting,"דיווח"
reprice,"לתמחר מחדש"
reprobative,"מטיל דופי, מוכיח"
reprovable,"שראוי לגנותו"
republish,"להוציא מהדורה חדשה"
republishable,"שניתן להדפיסו מחדש ולהפיצו שנית, שניתן להוציא לאור שנית"
reputably,"בהגינות"
"request for information","(מסחר) בקשה לקבלת מידע, בקשה המוגשת על ידי חברה לספקים פוטנציאליים לפני בקשה רשמית לאישורם (בקשה למידע על מוצריהם ושירותיהם של הספקים)"
resalable,"שניתן למכרו שוב"
resample,"לדגום מחדש, לקחת דוגמה נוספת; לקחת דוגמית נוספת"
reservable,"שניתן לשמרו, שניתן לאגור אותו, שאפשר להניחו בצד; שניתן להזמינו מראש"
"reserve price","מחיר שנקבע על ידי המוכר כמחיר הנמוך ביותר אותו הוא/היא מוכנים לקבל בעת מסירת חפץ למכירה פומבית"
"reserve-service coordinating committee","ועדה לתיאום שירות מילואים, ולת&quot;ם (ועדה המוסמכת לעשות שינויים בשירות מילואים פעיל של חיילים פונים)"
reshuffle,"לעשות חילופי-גברי, לשדד מערכות"
resignee,"מתפטר, מי שהתפטר; אדם העומד להתפטר"
resolvent,"מפריד"
responsive,"נענה, מגיב בחיוב"
"rest room","חדר שירותים, בית שימוש"
resumed,"מחודש"
resupination,"התפרקדות"
"retail shop","חנות קמעונית"
retarder,"מאחר, מעכב"
retd.,"שמור"
reticently,"בשתיקה, בשתקנות"
retracted,"שנמשך בחזרה פנימה"
"return on investments","תשואה להשקעה (בכלכלה, יחס פיננסי המבטא את סכום הרווח השנתי ביחס ישיר להון המושקע - של השקעה בודדת או של סך ההשקעות בפירמה)"
revalidate,"לתת תוקף מחודש"
"reveille parade","מסדר השכמה"
"reversal of fortune","שינוי במזל, מאיגרא רמא לבירא עמיקתא (מגג גבוה אל בור עמוק, ירידה מגדולה, מפלה)"
revise,"הגהה מתוקנת; שינוי"
revision,"שינוי; שיפור; עיון מחדש; בקרה; תיקון"
"revolutionary government","ממשלת המהפכה (ממשלה שהוקמה בעקבות מהפכה)"
"reward and punishment","שכר ועונש (גמול על מעשה ראוי ועונש על עבירה, שיטת המקל והגזר)"
rewardingly,"באופן המעניק סיפוק"
"rewriting history","שכתוב ההיסטוריה (כתיבת ההיסטוריה מחדש תוך סילופה ועיוותה)"
rezoning,"רה-איזור (חלוקה מחדש לאזורים)"
rheotaxis,"ראוטקסיס (בביולוגיה-תנועה בתגובה לזרם מים)"
rhodopsin,"רודופסין (בביוכימיה-פיגמנט)"
rhumba,"רומבה (ריקוד קובני)"
"rhythm of life","קצב חיים (הריתמוס בו החיים מתנהלים)"
"ribonucleic acid","ר.נ.א, רנ&quot;א (A.N.R, חומצת גרעין, חלק במנגנון התורשה)"
ricer,"כלי-מטבח המשמש לחיתוך (לפירורים קטנים כאורז)"
"rich man","איש עשיר"
"rid oneself of","להיפטר מ-"
"riddled with","מלא ב-, גדוש ב-"
rifler,"שודד, גנב"
"right marker","סמן ימני (החייל הקיצוני מימין שלפיו מסתדרת כל השורה; סמל לקיצוניות ימנית (בפוליטיקה))"
"rile him up","תרגיז אותו, תלהיב אותו, תגרום לו לכעוס"
rimfire,"כרכוב (של תרמיל קליע ) המכיל חומר נפץ במסגרת המקיפה את הבסיס"
ringster,"אדם השייך לעסק לא-חוקי או קבוצה פוליטית המפעילה מניפולציה לתועלת עצמה"
"rise early","לקום מוקדם"
"risk aversion","(כלכלה, מימון) שנאת סיכון"
riskily,"בצורה מסוכנת"
"rite of passage","טקס או מסורת המציינים שינוי משמעותי בחיים; טקס מעבר"
ritualism,"טקסיות; חקר הפולחן הדתי"
"road-side explosion","התפוצצות מטען צד"
roadkill,"פגר על הכביש, נבלה בכביש, חיה שנדרסה על ידי רכב"
"roadside explosive charge","מטען-צד (מטען חבלה המצוי לצד הדרך)"
"roar of cannons","שאון התותחים (הקול שמשמיעים תותחים בפעולתם, קולות מלחמה)"
"roasting sunflower seeds","קליית גרעינים (ייבוש פיצוחים באש)"
robe,"גלימה, חלוק"
rockable,"שניתן לנדנד אותו, בר-התנדנדות"
rocket,"טיל; זיקוק; ארוגולה, צמח ים תיכוני בעל עלים ירוקים שטעמם קצת חרדלי חריף (משתמשים בעלים הטריים לסלט, או עלים קצוצים בתוך פסטה)"
rocksolid,"יציב לחלוטין; חזק ביותר ולא סביר שיישבר"
rode,"[rəʊd]<br>לרכב; להרכיב; לנסוע"
rodent,"מכרסם"
rodenticide,"(חומר) קוטל מכרסמים"
roe,"איילה; ביצי דגים"
"roll up one's sleeves","להפשיל שרוולים; לגשת לעבודה"
roller,"מכבש; גלגל-סלסול; גל"
"rolling pin","מערוך"
romanist,"רומניסט חוקר השפות הרומניות; קתולי; מומחה בחוקים ובתרבות הרומאים"
"romantic adventure","הרפתקה רומנטית"
"rose-colored glasses","משקפיים ורודים (אופטימיות, נטייה לראות את הדברים באור חיובי)"
rosin,"למשוח בשרף"
rotary,"סיבובי; מסתובב"
"rotation agreement","הסכם רוטציה (חוזה על סבב באיוש משרה)"
roughshod,"בעל פרסות שמסמרותיהן בולטות (סוס)"
"round figures","מספרים עגולים"
"round of phone calls","סדרת שיחות טלפון, סבב טלפונים"
"round sum","סכום עגול"
roundtrip,"נסיעה הלוך ושוב"
roup,"(סוג) מחלת עופות; מכירה פומבית (בסקוטלנד); צרידות"
"routine maintenance","תחזוקה שגרתית (טיפולים ותיקונים שוטפים)"
row,"שורה; שייט; חתירה; מריבה; רעש; נזיפה"
rowdy,"פרחח; קולני"
rubber-stamped,"שימש כחותמת-גומי (נאמר על אדם שאין לו שום סמכות משמעותית מעבר לאישור החלטות של אחרים); מוטבע בחותמת גומי"
rubus,"פטל"
ruby,"אודם (אבן יקרה)"
"rude plan","תוכנית גלמית"
"rude winds","רוחות סוערות"
rudimentariness,"עקרוניות, יסודיות, מצב של היות עקרוני, בסיסיות"
ruffle,"לפרוע (שיער וכו'); לקמט; להרגיז; להעלות גלים"
"rule with justice","למשול בצדק"
rumbler,"מרעיש"
rumbling,"שמועה"
"run up","לבצע מהר; לגרום לעלייה; לצבור מהירות"
rurally,"בסגנון כפרי"
rusticness,"כפרייות, תכונה של היות כפרי או איכרי, איכריות, תכונה של עיירה קטנה"
sabermetrician,"אדם החוקר את הסטטיסטיקות של כדור-בסיס"
saccharimetric,"של מדידת סוכר"
saccharimetry,"מדידת סוכר"
saccharinity,"מתקתקות, סכריניות; מתיקות, סוכריות"
saccharometric,"של מדידת סוכר"
saccular,"דמוי שק, שקי"
sacculated,"דמוי שק; בעל שקיקים, בעל כיסיות (ברפואה, למשל)"
sacerdotalist,"אדם התומך בכהונה ובמתן זכויות יתר לכוהנים"
sackcloth,"לבוש שק, בגד שק"
saddened,"עצוב, נעצב"
saddleback,"גב-אוכף, בעל-חיים (דג, ציפור או בעל חוליות אחר) או חפץ בעל גב נמוך וחלול הדומה לאוכף"
safekeeping,"שמירה, הגנה, השגחה"
"safety rules","כללי בטיחות (כללי התנהגות שתכליתם להגן על חיי הציבור)"
sagacity,"חכמה, תבונה, פיקחות"
"sago palm","עץ דקל אסיאתי נמוך ממנו ניתן להפיק סגו"
said,"הנ&quot;ל, האמור, שנזכר, דלעיל"
"said something he shouldn't","חטא בלשונו (פלט דבר שאסור היה לו לומר)"
"sailor hat","כובע בעל חלק עליון שטוח ושוליים רחבים"
saintdom,"קדושה"
salad,"סלט; ירק לסלט; חסה, ירקות ירוקים (סלנג)"
"salad bowl","קערת סלט, קערה גדולה לערבוב סלט ולהגשתו; קערה קטנה או עמוקה למנת סלט אישית"
"sales agreement","הסכם מכירה, הסכם להעברת בעלות על נכס"
"sales representative","נציג מכירות, איש שיווק, מקדם מכירות, נציג שתפקידו לשווק את מוצרי החברה"
"sales room","חדר בו מציגים או מוכרים סחורה; חדר מכירה פומבית (בריטי)"
salmonoid,"דג דמוי אלתית; דג ממשפחת האלתיות"
salpingo,"של החצוצרות, של חצוצרות הרחם (תחילית בצירופים)"
"salt-free margarine","מרגרינה בלי מלח (ממרח שומני שאינו מכיל מלח (לטיגון, אפייה או למריחה))"
salutary,"מועיל, מיטיב; יפה לבריאות, מבריא"
salve,"לשכך, להרגיע; להביא מזור; להציל"
samarium,"סמריום (יסוד כימי)"
sameness,"דמיון; זהות; שוויון; חדגוניות"
samp,"קמח תירס מורתח במים"
sanatarium,"סנטוריום, בית מרפא"
sanction,"עונש; אמצעי לשמירת החוק; רשות, אישור; עידוד; סנקציה"
sanctioned,"מאושר באופן רשמי ושניתנה לו סמכות חוקית; שקיבל אישור מוסמך; שתואם את החוקים המוכרים"
sanctum,"מקום קדוש; מקום פרטי, חדר פרטי"
sand,"לזרות חול; לכסות בחול; לשפשף בחול; ללטש בנייר זכוכית"
"sand bed","מיטת חול, שכבה עבה של חול הקיימת באופן טבעי או שהינה מעשה ידי אדם"
"sand crack","סדק אנכי בפרסת סוס שלרוב גורם לצליעה"
"sand hill","דיונה; גבעת חול"
"sand martin","כוכית, ציפור שיר אירופאית זעירה המקננת במנהרות שנחפרו בקירות חול (קרובת משפחה של הסנונית)"
sandbagged,"מבוצר בשקי חול"
sandman,"שר השינה, מפיל התנומה (דמות אגדית)"
"sang hoarsely","שר בגרון ניחר (שר עם כול ההתלהבות, שר בשארית כוחותיו)"
"sanitary belt","חגורה להחזקת תחבושת סניטרית"
santim,"סנטים, יחידת המטבע של לטביה"
"sap rot","שכבת העץ שמתחת לקליפה; החלק הלבן והרך יותר של עץ"
sapiential,"חכם, נבון; פיקח; פקחי; מאופיין בבינה"
sapless,"יבש, חסר עסיס, נטול לחלוחית; חסר חיים"
sappy,"שופע חיים, מלא מרץ; מלא לחלוחית; טיפש (סלנג)"
sarcolemma,"סרקולמה, תיק ליף השריר (באנטומיה)"
sardine,"לדחוס, להעמיס, למלא יותר מדי, לארוז בצפיפות"
"sardonic smile","חיוך ממזרי, חיוך ערמומי"
sarky,"סרקסטי (סלנג בריטי)"
sassy,"חוצפני, חצוף, מחוצף (סלנג)"
sastrugi,"(צורת רבים) חריצים או תלמים לא ישרים משלג שהתקשה הנוצרים על ידי רוחות"
sateen,"סאטן (סוג בד מבריק)"
"satiating food","מזון משביע, אוכל משביע (מזון היוצר אצל האוכל תחושת שובע)"
satirically,"באופן סאטירי (כסאטירה, בצורה אירונית ולעגנית)"
satirise,"ללעוג או לתקוף באמצעות סאטירה; לחבר סאטירה (גם satirize)"
"satisfactory answer","תשובה מספקת (תשובה העונה על השאלה, תשובה משביעת רצון)"
satyric,"סאטירי, לעגני, לגלגני; בעל אופי של סאטירה"
saury,"דג ים קטן"
"sausage roll","&quot;משה בתיבה&quot;, מאפה נקניקיה עטופה בבצק"
"save face","&quot;להציל את הכבוד&quot;, מניעת מצב של השפלה, להגן על הכבוד-העצמי של אחד"
"save one's face","להציל את כבודו"
"saving your presence","סליחה על הביטוי {לא בשימוש}"
"savoir vivre","חוכמה ואדיבות הנובעות מניסיון רב בעולם ומבקיאות בהלכות החיים"
"saw a horse's mouth","למשוך ברסן מצד לצד"
sawyer,"נסר, מנסר"
saxicolous,"שגדל בין סלעים"
scab,"גלד; גרדת-צאן; (סוג) מחלת צמחים; מפר שביתה (סלנג)"
"scalable font","גופן מדורג, גופן שאינו ממופה סיביות ושניתן להגדילו ללא עיוותים בצורתו"
scaleboard,"קרש דק מאוד המשמש כגב למראה או לתמונה; גיליון עץ דק המשמש כציפוי איכותי לרהיטים; רצועת עץ דקה המשמשת ליישור עמוד (דפוס)"
scalloping,"איסוף צדפות מתולמות; דוגמת תלמים; קישוט בדוגמת תלמים"
scallops,"תלמים בשטיח, גבשושיות בקצה השטיח בדוגמה עולה ויורדת כתוצאה מהשקעים שנוצרו על ידי הנעצים שמחזיקים את השטיח"
scampish,"של בן בלייעל, דמוי נבל; מרושע, נפשע, נתעב, לא ישר, שפל"
scandalizer,"עושה סקנדלים, מעורר שערוריות; רכלן, מפיץ שמועות"
scapula,"עצם השכם"
scarey,"מפחיד, מבהיל, מטיל אימה; ביישן; פחדן"
scarf-pin,"סיכת עניבה"
scarifier,"מכשיר תיחוח (בחקלאות); כלי לחיתוך העור (בניתוח)"
scarlatina,"שנית, סקרלטינה (מחלה)"
scarlet,"אדום, אדום כשני"
"scathing criticism","ביקורת נוקבת"
scatterbrained,"פזור-נפש, פזור-דעת, מפוזר"
scatterer,"מפזר, זורה"
scented,"מבושם, בעל ריח, בעל ניחוח"
scheduler,"מתזמן; קובע לו&quot;ז"
scheme,"לתכנן; לזמום, לחבל תחבולות"
schilling,"שילינג (יחידת מטבע אוסטרית ולשעבר גרמנית)"
"school bus","אוטובוס תלמידים, אוטובוס המסיע תלמידים אל ומבית-הספר (בארה&quot;ב וקנדה האוטובוס בדרך-כלל בצבע צהוב)"
schuss,"גלישה מהירה במדרון (בסקי)"
sciatica,"נשית, סכיאטיקה (מחלה)"
"scientific journal","ירחון מדעי (כתב-עת חודשי המציג מחקרים מדעיים בתחום מסוים)"
"scientific notation","ייצוג מדעי (ייצוג מספר ע&quot;י רצף ספרותיו והמעריך בו יש להעלותם (בבסיס עשר) (מחשב))"
scirrhous,"קשה, סיבי; של גידול סרטני קשה (ברפואה)"
scissoring,"גזירה (במספריים)"
sclerotitis,"דלקת לובן העין"
scoopful,"מלוא הכף, מלוא התרווד, מלוא היעה"
scopophilic,"סקופופילי (של שאיבת סיפוק מיני מגירויים חזותיים כגון תמונות פורנוגרפיות)"
"scops owl","שעיר מצוי, ינשוף קטן מסדרת דורסי הלילה"
"score card","כרטיס ניקוד"
score-writer,"תוויין (כותב תווים, מלחין, קומפוזיטור)"
scotsman,"תושב סקוטלנד, סקוטי"
scouting,"צופיות (חברות בתנועת הצופים); סיור; סיירות, גששות"
scraggy,"רזה, כחוש, צנום, &quot;גל עצמות&quot;, רזה ביותר; משונן, מחורץ, בעל זיזים, בעל שיניים-"
"scrap value","ערך כגרוטאה"
scraps,"שיירים, שאריות, שיירי-מזון"
scratchily,"כלאחר יד, בצורה מקושקשת"
screaming,"צווח, צורח; צעקני, רועש; מצחיק ביותר (סלנג)"
screech,"צווחה, צריחה, חריקה; (סלנג) משקה רום מתחתית החבית (מילה שמקורה התחיל בניופאונדלנד שבקנדה)"
"screen door","דלת רשת"
"screw cap","פקק מתברג, פקק אותו מבריגים לשפה בעלת תבריג של צנצנת או בקבוק"
scrimshank,"להשתמט (סלנג)"
scripturally,"מבחינה מקראית"
"scroll bar","פס גלילה, אזור מלבני בצד או בתחתית החלון המאפשר לגלול את המסמך לשני הכיוונים"
scrub,"בתה, סבך שיחים נמוכים; שפשוף, קרצוף, רחיצה; אדם נחות; עץ ננסי; ביטול או דחייה"
scrupulous,"מצפוני, בעל רגישות מוסרית; קפדן, דייקן"
scrutinise,"לבחון, לבדוק, לבחון בקפידה, לבדוק מקרוב"
scullery,"חדר לשטיפת כלים"
scum,"חלאה, זוהמה; פסולת; קרום, דוק; חלאת-אדם"
scupper,"פתח להרקת מים (בספינה)"
scurvy,"שפל, נבזי, נאלח"
scutch-grass,"יבלית (עשב-בר המזיק לצמחייה, עשבים שוטים, עשב רע)"
scuttle,"מנוסה, בריחה, ריצה; פתח (באנייה); כלי לפחם"
scutum,"מגן שריון (ברומא העתיקה); קשקש, חיפוי מגן (בבוטניקה, בזואולוגיה)"
"sea anchor","עוגן, מכשיר המשמש להחזקת ספינה במקום אחד בעת שהייה בים"
"sea hog","סוג של דולפין"
"sea piece","תמונה המציגה סצינת ים; נוף ים, תמונה של נוף ים"
"sea risk","סיכון ימי"
"sea tang","סוג של עשב ים, סוג אצות"
"sealed orders","פקודות מוצפנות"
sealer,"חותם, בודק משקלות ומידות; צבע המשמש כאוטם; צייד כלבי-ים; ספינה לציד כלבי-ים"
seaminess,"כיעור, &quot;צד-התפר&quot;, הצד הפחות נעים"
"search out","לחפש"
"search thoroughly","לחפש ביסודיות"
searchable,"שניתן לחפשו"
searching,"חיפוש"
seaside,"סמוך לים"
seasonality,"עונתיות; תקופתיות"
seaward,"ימה, הימה, לעבר הים"
seaweed,"אצה, אצות, עשב ים"
seclude,"לבודד, להרחיק; להסתגר, להתבודד; להפריד"
secluded,"בודד, מבודד; של התבודדות, של פרישות; מופרד, נבדל"
"second birth","לידה שנייה, לידה רוחנית הגורמת לאדם לחיות חיים חדשים"
"second fiddle","כינור שני (מלווה, כלי שני; משני, מינורי, שולי, זוטר)"
"second runner-up","סגנית שנייה"
"second string players","שחקנים או צוות שהינם ממלאי-מקום או מחליפים לשחקנים הפותחים את המשחק ושאינם מתחילים את המשחק בעצמם"
"second-hand smoke","&quot;עשן פסיבי&quot;, עשן מסיגריה של אדם אחד (או עשן ממקטרת וכו') הנשאף על ידי אדם אחר הנמצא בקרבת מקום של המעשן"
"secondary objective","יעד-משנה (יעד שיותקף רק אם לא תתאפשר תקיפת היעד העיקרי או שיותקף לאחר הכיבוש העיקרי)"
"secretary bird","לבלר, ציפור טרף אפריקאית גדולה בעלת רגליים ארוכות הניזונה בעיקר מזוחלים"
secularity,"חילוניות, צידוד בחופש מדת"
"secundum legem","תקנה בהתאם לחוק (תקנה המפרטת הסדר כללי שנקבע בחקיקה ראשית)"
"security partnership","שותפות למטרות ביטחון"
"security room","חדר ביטחון"
secy,"(קיצור של:) מזכיר, מזכירה"
"see it in a whole new light","&quot;לראות משהו דרך אור חדש&quot;, לראות משהו מנקודת מבט חדשה, הבנת משהו בצורה אחרת"
"see the color of the money","לראות את הכסף בעיניים, לקבל תשלום במזומן"
"see things in perspective","לראות את הדברים (בפרופורציה, באור הנכון)"
seedily,"בעליבות"
"seek for","לחפש"
"seer of visions","חוזה חזיונות"
segregate,"לבודד, להפריד, להבדיל; להיבדל, לפרוש, להיפרד"
seigniorage,"מס, היטל; רווחים מטביעת מטבעות (בימה&quot;ב)"
"seize an opportunity","לנצל הזדמנות"
seizin,"חזקה (במשפטים)"
"self assertion","הדגשת האני, הבלטה עצמית, עמידה על זכויות"
self-flagellation,"הלקאה עצמית (האשמה עצמית, חרטה, הכאה על חטא)"
self-moving,"נע מעצמו"
self-observation,"התבוננות עצמית, חשבון-נפש"
"selfish love","אהבה התלויה בדבר (אהבה מתוך מניעים סמויים, אהבה לשם קבלת טובות-הנאה)"
semaphore,"לאותת בדגלים, לסמן בזרועות, לאותת בסמפור"
semeiotic,"של תורת הסימנים, סמיוטי"
semestrial,"סמסטריאלי (של סמסטר, נמשך סמסטר אחד, מתרחש פעם בסמסטר)"
semiautonomous,"אוטונומי למחצה"
semiclassically,"בצורה קלסית למחצה"
semiology,"חקר הסימנים, סמיולוגיה"
semipetrified,"מאובן למחצה"
"senior high school","חטיבה עליונה בבית-ספר תיכון (בארה&quot;ב)"
sensery,"מרכז תחושה, סנסוריום, אזור במוח המקבל ומעבד את מידע התחושים"
"sentence to-","לשפוט אדם ל-, לדון ל-"
separability,"כושר היפרדות, נתיקות"
"separable variables","משתנים פרידים (נעלמים שניתן להפריד ביניהם (במתמטיקה))"
separably,"באופן הניתן להפרדה"
"separation of powers","הפרדת רשויות, הפרדת סמכויות (עקרון היסוד הדמוקרטי שכל אחת מרשויות השלטון עצמאית במסגרת סמכויותיה ובולמת את כוחן של הרשויות האחרות)"
septuagenarian,"בגיל 70; בגיל 70-80"
septuple,"להכפיל ב-7"
sepulchered,"קבור, טמון"
sequestrable,"ניתן לעיקול, ניתן להפקעה"
sequestration,"עיקול, החרמה, הפקעה; נמק העצם, רקמה מבודדת (ברפואה)"
serge,"סרג' (סוג אריג)"
seriate,"סדרתי, ערוך בסדרה"
"series of suggestions","שורה של הצעות (כל מיני הצעות שונות)"
"serious matter","עניין רציני"
sermon,"הטפה, דרשה, הטפת-מוסר"
serology,"סרולוגיה, תורת נסיוב הדם"
serpentine,"עקלתוני, מתפתל; נחשי; ערמומי, בוגדני"
"served as a rubber stamp","שימש כחותמת-גומי (אדם שאין לו שום סמכות משמעותית מעבר לאישור החלטות של אחרים)"
"service strip","פס שירות (לציון משך השירות)"
"service tree","עץ אירופאי נשיר המניב פירות קטנים חומים ואכילים; סוג של עץ או שיח צפון אמריקאי בעל פרחים לבנים ופרי סגלגל או כחול-שחור"
sesquipedalian,"ארוך מאוד, רב הברות; משתמש במילים ארוכות"
sesquipedalian,"מילה רבת הברות"
sessile,"מחובר ישירות, יושב (בבוטניקה, בזואולוגיה)"
"set a person's mind at rest","להניח דעתו של אדם"
"set at","לתקוף; להתחיל"
"set back","לעצור, לעכב"
"set high goals","להציב מטרות גבוהות"
"set him up","סידר אותו, עבד עליו"
"set it going","העמידו על רגליו"
"set the dog on him","שיסה בו את כלבו (עורר את כלבו לתקוף אותו)"
setting,"רקע, סביבה; שעת ומקום הפעולה (בספר, סרט וכו'); מסגרת; תפאורה; קביעה, סידור; שיבוץ (אבני-חן); לחן; מערכת שלמה של כלי-שולחן לאדם אחד; (מחשבים) קביעה, כוונון התקן בר-ויסות"
"settle in","להסתדר; להשתקע, להתבסס"
"seven days of mourning","שבעה, שבעה ימי אבל"
"sewage farm","מפעל לטיהור שפכים"
"sewing circle","חוג תפירה"
"sewing machine","מכונת תפירה"
"sex harassment","הטרדה מינית"
sexagesimal,"שבר שהמכנה שלו הוא 60 או חזקה של 60"
sexologist,"סקסולוג (עוסק בסקסולוגיה, מומחה להתנהגות מינית ומיניות האדם, מטפל בבעיות בתחום המין)"
sextain,"בית בשיר המורכב משש שורות, שישייה"
"sexton beetle","(זאולוגיה) חיפושית סקסטון, &quot;חופרת קברים&quot;, כל סוג של חיפושית שחורה או שחורה-כתומה הקוברת עכברים מתים או גוויות של בעלי-חיים קטנים"
"sexual aids","אבזרי מין, עזרי מין (פריטים שונים הבאים להעשיר ולגוון את חיי המין)"
shade,"צל; מחסה; גוון; נופך, קורטוב; תריס; אהיל; רוח, שד"
shadily,"בצורה מפוקפקת; בצורה מעורפלת"
shaft,"להניע בעזרת מוט, לדחוף במוט; לנהוג בצורה לא הוגנת, לנהוג בחוסר נימוס (סלנג)"
shaggy,"מדובלל, שעיר, סבוך, פרוע-שער"
"shake in one's shoes","לרעוד מפחד"
"shake one's head","לנענע בראש"
shamanist,"שמאניסטי, השייך או הקשור לשמאניזם"
shammer,"מתחזה, מעמיד פנים"
shampoo,"תחפיף, שמפו, תכשיר לחפיפת הראש, סבון נוזלי לניקוי שער; תכשיר לניקוי שטיחים וריפוד; חפיפת-ראש"
shampoo,"לחפוף ראש; לנקות בשמפו (שטיחים וכו')"
shapeliness,"יפי-מראה, יפי-תואר"
"sharp transition","מעבר חד (שינוי פתאומי ומשמעותי)"
sharpener,"מחדד; משחיז"
shattered,"מנופץ, מנותץ; הרוס, מעורער; מזועזע"
"shattering conventions","שבירת מוסכמות, ניפוץ מוסכמות (עשיית דברים בניגוד למקובל, שחייה נגד הזרם)"
shavable,"שניתן לגלחו; שניתן להקציעו"
shawarma,"שוארמה, בשר כבש מתובל וצלוי המוגש בפיתה (נפוץ במזרח התיכון)"
shear,"לגזוז; לגזום; לגזור, לחתוך; לשלול, לגזול"
sheather,"מכניס לנדן (חרב); מצפה, עוטף"
"sheep-shearing festival","חג הגז (טקס חגיגי של גזיזת צמר הכבשים)"
sheer,"מוחלט, גמור; דק, שקוף; טהור; תלול, אנכי"
sheet,"לעטוף, לצפות, לכסות (בסדין וכו'); לספק סדינים"
sheetlike,"דמוי גיליון, דמוי לוח"
"shell shock","הלם קרב (הפרעה נפשית הנובעת מההיחשפות לאימת שדה-הקרב)"
"sheltered position","מחפה (עמדת חיפוי, עמדה מוגנת שניתן להגן ממנה על גזרה, מחפורת, שוחה)"
sherlock,"בלש פרטי; מומחה לפתרון תעלומות (ע&quot;ש שרלוק הולמס, דמות בלש ידוע בספריו של ארתור קונן דויל)"
"shift the blame","להטיל את האשמה על אחר"
"shimeji mushroom","פטריית השי-מג'י, פטריה בשרנית בעלת מרקם פריך אותה מגדלים ביפן"
shimmery,"מנצנץ, מבליח, מהבהב"
"ship off","לשלח, לשגר (בכלי שיט)"
shipborne,"שנישא בספינה; שנוצר במטרה לשאתו בספינה"
shipbreaker,"סוחר בספינות ישנות"
